,Unnamed: 0,CourseName,CourseTag,Content,Down-votes,Up-votes,User,label
25,26,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",受益匪浅 深入浅出 解释 原理 ,0,0,网易四川省自贡网友&nbsp;豆豆人的地盘： ,1
26,27,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",完 一线 教师 指导 作用 希望 适合 教师 心理学 课程 公开 期待 ,0,0,网易安徽省六安网友：,1
27,28,华东师范{##大学##}{##公开课##}：学习心理学,"华东师范{##大学##},庞维国,心理学,{##中国##}{##大学##}{##视频##}{##公开课##},国家{##视频##}{##公开课##},",完 自主 学习 听 完 老师 学 字面 学习 无关 忙 动手 抄 书 负荷 空余 天马行空 体验 ,2,3,网易广东省揭阳网友&nbsp;语音娃娃： ,0
28,29,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",期待 老师 时代 专题 详细 解读 谢谢 ,0,2,网易北京市延庆区网友：,3
29,30,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",听 讲 获益 丰 感谢 郭 老师 ,0,1,网易北京市海淀区手机网友&nbsp;oep2jt8kat5b11cf94efc91b52ab264f228a935024： ,3
30,31,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",学识 渊博 风范 ,0,1,网易湖北省武汉手机网友&nbsp;oep2jt5lav34a47fc9d97e5898461522826952c37d： ,1
31,32,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",伤 十指 断其一 泛泛而谈 ,2,5,网易河南省南阳网友：,1
32,33,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",郭 老师 谢谢 ,0,1,网易内蒙古自治区乌海网友：,3
33,34,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",郭 老师 讲 ,0,1,网易四川省成都网友：,0
34,35,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",老师 讲 ,0,1,网易四川省成都网友：,1
35,36,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",复兴中华 文 ,0,1,网易山东省济南手机网友：,0
36,37,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",讲 真 风范 ,0,1,网易北京市海淀区手机网友：,0
37,38,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",士子 君子 道 继往开来 ,0,1,网易浙江省杭州手机网友：,0
38,39,武汉{##大学##}{##公开课##}：{##中国##}古代思想智慧,"武汉{##大学##},哲学,{##中国##}{##大学##}{##视频##}{##公开课##},{##中国##}古代思想智慧,",感谢 郭 老师 ,0,11,网易湖南省长沙网友：,1
39,40,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",思路 乱 走 神 ,3,2,网易山东省淄博手机网友&nbsp;有态度网友06HPqg： ,0
40,41,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",专业生 学者 耐心 讲解 详细 ,0,1,网易甘肃省兰州网友&nbsp;有态度网友06qtjs： ,1
41,42,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",讲解 认 到位 ,0,3,网易甘肃省兰州网友&nbsp;有态度网友06qtjs： ,1
42,43,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",感觉 常识 上费 笔墨 ,0,2,网易河南省周口网友&nbsp;独一无二否： ,0
43,44,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",刻本 课本 字 幕 组 专业 犯 ,0,0,网易浙江省杭州网友：,2
44,45,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",感觉 乱 前 系统性 ,0,10,网易安徽省合肥网友：,2
45,46,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",太 卡 难过 ,0,0,网易江西省新余网友：,2
46,47,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",时间 掐 真 ,0,1,网易福建省泉州手机网友：,2
47,48,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",缓冲 慢 { ,0,0,网易吉林省通化网友：,2
48,49,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",历史 启蒙 ,0,0,网易广西壮族自治区钦州网友：,3
49,50,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",提供 学习 语种 课程 韩语 ,0,0,网易广东省江门网友：,2
50,51,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",听 收获 ,0,0,网易江苏省盐城网友：,3
51,52,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",建筑 狗 埃雷赫修 神庙 ,0,0,网易江西省吉安网友&nbsp;有态度网友07eZwS： ,0
52,53,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",2016中国事务讯 亮 中国 世界 政治 主题 威廉王夫洛克世 政治 外交 史务 中国东方政治大学院 主任 莱因哈特堡 ,0,1,网易辽宁省沈阳网友：,0
53,54,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",谢谢 老师 ?? ,0,13,网易黑龙江省绥化手机网友：,1
54,55,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",听到 滔滔不绝 无知 ,0,2,网易浙江省杭州网友&nbsp;河豚鱼子： ,0
55,57,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",太 谢谢 网 谢谢 老师 ,0,2,网易广东省深圳网友：,1
56,58,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",不错 受益匪浅 谢谢 网 谢谢 老师 ,0,1,网易广东省深圳网友：,3
57,59,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",讲 太棒 太 棒 谢 老师 谢谢 ,0,9,网易贵州省铜仁网友：,3
58,60,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",口头禅 重复 语 太 ,0,0,网易福建省福州手机网友：,1
59,62,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",课程 太 少 有么 ,0,2,网易山东省菏泽网友&nbsp;198309602： ,2
60,63,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,","两位 老师 教 挺 ,本人 喜欢 阎 老师 ",0,6,网易广东省广州网友&nbsp;yuanlin_1_yuanlin： ,1
61,64,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",知识 讲解 流畅 敬业 老师 高山仰止 佩服 <b r> ,0,0,网易江苏省盐城网友：,1
62,65,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",真 学问 真 知识 真 佩服 ,0,2,网易安徽省蚌埠网友：,1
63,66,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",老师 脸 写 字 强 ,0,7,网易北京市昌平区手机网友：,1
64,67,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",欣赏 学习 并存 ,0,0,网易上海市网友：,0
65,68,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",知识 讲解 流畅 敬业 老师 高山仰止 佩服 ,0,18,网易贵州省铜仁网友：,1
66,69,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",形象 易懂 真实 ,0,2,网易江苏省无锡手机网友&nbsp;有态度网友07duuu： ,1
67,70,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",讲 听 课 住 书 基础 听 课 理解 透彻 听 吃力 老师 棒 ,0,1,网易四川省泸州手机网友&nbsp;有态度网友07i27L： ,1
68,71,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",两位 老师 讲 侧重点 都是 大师 ,0,2,网易四川省成都手机网友&nbsp;163656697： ,1
69,72,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",优秀 旁征博引 功 自然 一段 话 都是 篇 论文 ,0,17,网易安徽省马鞍山网友：,1
70,73,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",太 琐碎 解释 影响 系统性 趣味性 ,0,0,网易安徽省合肥网友：,1
71,74,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",讲 挺 邓 老师 阎 老师 风趣 反正 拽 ? ,0,1,网易浙江省杭州网友&nbsp;河豚鱼子： ,1
72,75,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",邓 老师 讲 内容 听 有一些 积累 启发 话 听 吃力 ,0,9,网易北京市石景山区网友：,1
73,76,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",鞭 辟 入 里 讲解 ,0,1,网易重庆市南岸区手机网友&nbsp;有态度网友06p3QB： ,1
74,77,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",鞭 辟 入 里 讲解 ,0,2,网易重庆市南岸区手机网友&nbsp;有态度网友06p3QB： ,1
75,78,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",唐 宋 时期 中枢 决策 机构 演变 b r 南北朝 省 未 省 制 隋 唐 中 书 省 出令 门下省 审核 两 省 机要之司 省 首长 宰相 尚 书 设 仆 射 省 政事堂 讨论 尚书省 执行 单位 六部 省 六部 唐代 前期 省 长官 外 知 政事 官 中 书门 平章 事 宋代 省 长官 长 名字 宰相 衔 b r 六部 清代 b r 宋代 府 制 二府 长官 中 书门 平章 事 宋代 宰相 议事 皇帝 面前 御前 会议 宫崎市 君主 独裁 枢密院 管理 军政 起源 唐代 唐代 宦官 沟通 皇帝 南衙 枢密 军事 机要 朱温 起义 投降 五代 宦官 枢密 b r 唐代 前期 中 书门 决策 政务 <b r 唐代衡 省 之间 决策 执行 之间 宋代 部门 分工 之间 制衡 ,0,5,网易河北省唐山网友：,0
76,79,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",课 课 可惜 掐头 尾 ,0,4,网易浙江省台州手机网友&nbsp;有态度网友07tDzc： ,0
77,80,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",谢谢 老师 ,0,2,网易河南省手机网友&nbsp;有态度网友06YQBS： ,1
78,81,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",套 课程 做 老师 讲 拍摄 拍 老师 拍 老师 拍 屏幕 课件 拍 课件 学生 一点 互动 类 课程 太 少 北大 公开 课 都是 几年 前 中国 优秀 教育 资源 共享 才是 ,0,6,网易辽宁省本溪手机网友&nbsp;有态度网友06mWtT： ,3
79,82,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",讲 真 难以 找到 课程 受益匪浅 ,0,17,网易河北省张家口网友：,1
80,83,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",一套 课程 不可多得 讲 义备 下载 ,0,10,网易广东省广州网友&nbsp;qingshanwumei： ,0
81,84,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",越 听 越 糊涂 万世昌盛 修 深感 治平 万 难 唯 度 ,1,0,网易江西省九江网友&nbsp;pf6141： ,0
82,85,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",意 犹 未 谢谢 邓小南 老师 ,0,1,网易山西省太原手机网友：,1
83,86,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",感谢 小南 老师 致敬 ,0,3,网易四川省成都网友&nbsp;坛1： ,0
84,87,北京{##大学##}{##公开课##}：{##中国##}古代政治与文化,"政治,历史,文化,北京{##大学##},{##中国##}古代,阎步克,{##中国##}{##大学##}{##视频##}{##公开课##},邓小南,",受益良 感激 万分 ,0,1,网易浙江省宁波手机网友：,3
85,88,复旦{##大学##}{##公开课##}：{##中国##}传统法律文化,"法学,{##中国##}传统法律,{##中国##}{##大学##}{##视频##}{##公开课##},复旦{##大学##},郭建,",坐而不偿 偿 坐 过失 b r b r 蒙古 法律 财产 赔偿 这是 源 游牧 民族 伤害 视为 一种 债务 b r b r 西方 破损 方式 分为 赔偿 复仇 两种 <b r> 赔偿 血 金 b r 复仇 同态 血族 <b r 西方 民众 之间 伤害 复仇 影响 社会 安定 建立 完整 赔偿 表 中国 缺乏 赔偿 计算 标准 ,0,5,网易陕西省西安网友&nbsp;m183****6035_1： ,0
86,89,复旦{##大学##}{##公开课##}：{##中国##}传统法律文化,"法学,{##中国##}传统法律,{##中国##}{##大学##}{##视频##}{##公开课##},复旦{##大学##},郭建,",谢谢 郭 老师 ,0,3,网易山东省青岛网友&nbsp;lovemarissa0： ,1
87,90,复旦{##大学##}{##公开课##}：{##中国##}传统法律文化,"法学,{##中国##}传统法律,{##中国##}{##大学##}{##视频##}{##公开课##},复旦{##大学##},郭建,",受 教颇 瞿 祖 中国 法律 中国 社会 古代 现象 加深 理解 ,0,1,网易上海市宝山区网友&nbsp;beself： ,1
88,91,复旦{##大学##}{##公开课##}：{##中国##}传统法律文化,"法学,{##中国##}传统法律,{##中国##}{##大学##}{##视频##}{##公开课##},复旦{##大学##},郭建,",郭 老师 讲 听 收获 ,0,1,网易广东省韶关网友：,3
89,92,复旦{##大学##}{##公开课##}：{##中国##}传统法律文化,"法学,{##中国##}传统法律,{##中国##}{##大学##}{##视频##}{##公开课##},复旦{##大学##},郭建,",好多 公安局 派出所 采用 欺诈 愚弄 方式 弄 进 鸡 圈 百 思 解 兵刑 一家 都是 维稳 社会 太 险恶 ,0,0,网易重庆市手机网友&nbsp;有态度网友07suNK： ,0
90,93,复旦{##大学##}{##公开课##}：{##中国##}传统法律文化,"法学,{##中国##}传统法律,{##中国##}{##大学##}{##视频##}{##公开课##},复旦{##大学##},郭建,",讲 兴趣 ,1,1,网易江西省景德镇手机网友&nbsp;有态度网友074-nm： ,0
